day,day_name,date,8_30am_code,8_30am_title,11am_code,11am_title,2pm_code,2pm_title
1,Tuesday,,BFN715,Principles Of Finance,BUS801,Operations Management,ACC311,Financial Accounting
1,Tuesday,"28th April, 2026",BFN805,Corporate Finance,CRD422,Social Processes And Comparative Ru,ACC426,International Accounting
1,Tuesday,"28th April, 2026",ACC306,Cost Accounting,BFN411,Public Financial Management,CRD413,Agricultural Cooperative
1,Tuesday,"28th April, 2026",ACC407,Accounting & Auditing For Cooperati,ENT413,Social Entrepreneurship And Community Development,ENT302,Feasibilities And Business Planning
1,Tuesday,"28th April, 2026",BUS800,Quantitative Analysis,ENT301,Sociology Of Entrepreneurship,ENT801,Business Planning For Entrepreneurship Growth
1,Tuesday,"28th April, 2026",ENT804,Biographical Studies Of Entrepreneurial Thinkers And Giants,MBA820,Corporate Management Strategy,MBA881,Business Policy
1,Tuesday,"28th April, 2026",MKT301,Consumer Co-Operative,MKT823,Consumer Behaviour,PAD402,Social And Welfare Administration I
1,Tuesday,"28th April, 2026",PAD403,Democratic Studies,PAD771,Public Personnel Administration,PAD807,Public Development Administration Theory
1,Tuesday,"28th April, 2026",ARA302,Research Methods,ARA430,Arabic Literature In The Mahjar,ARA311,Arabic Dialectology
1,Tuesday,"28th April, 2026",CRS302,Messianism,CRS702,Common Themes In Christianity And I,CRS704,Religious Dialogue
1,Tuesday,"28th April, 2026",CRS810,Current Trends In Old Testament Sch,CRS821,Pauline Epistles,CRS831,Reformation And Counter Reformation
1,Tuesday,"28th April, 2026",CRS840,Systematic Theology,CRS856,Conflict Management,CRS870,Religion And Society
1,Tuesday,"28th April, 2026",ENG311,Research Methods,ENG801,Special Subject: Literature and Medicine,ENG312,Creative Writing II
1,Tuesday,"28th April, 2026",ENG414,Speech Writing,ENG856,Sociolinguistics (Eng. Lang. Specialization),ENG411,English For Specific Purposes
1,Tuesday,"28th April, 2026",FRE421,Advanced Studies In French Language,HAU302,Varieties Of Hausa Poetry,FRE422,Advanced Studies In French Language
1,Tuesday,"28th April, 2026",HAU301,Phonology Of Hausa II,HAU401,Advanced Hausa Phonology,HAU303,Syntax Of Hausa II
1,Tuesday,"28th April, 2026",HAU402,Social Institutions and Material Culture in Hausa,IGB312,Naming In Igbo,HAU404,Introduction to the Traditional Music of Hausa People
1,Tuesday,"28th April, 2026",IGB482,Contemporary Prose Fiction In Igbo,ISL302,Research Methods,IGB413,Social Institutions And Material Culture Of The Igbo People
1,Tuesday,"28th April, 2026",ISL402,Modern Reform Movement,ISL801,Research Methods,ISL415,Advanced Studies On The Qur_An
1,Tuesday,"28th April, 2026",PHL301,Symbolic Logic,YOR312,Naming in Yoruba,PHL312,"Existentialism, Hermeneutics And Phenomenology"
1,Tuesday,"28th April, 2026",PHL422,Intercultural Philosophy,BED312,Organisation And Administration Of,PHL411,Philosophy of Mind
1,Tuesday,"28th April, 2026",YOR361,Introduction to Drama in Yoruba,EDA825,Managerial Psychology,EDT811,Theories Of Communication Andphilos
1,Tuesday,"28th April, 2026",EDA822,Supervision Of Instructions In Educ,EDU720,English Methods,EDU730,Religion And Moral Education Metho
1,Tuesday,"28th April, 2026",EDU711,Introduction To Foundations Of Educ,HED311,Mental & Social Health,EGC801,Principles Of Guidance And Counsell
1,Tuesday,"28th April, 2026",EGC802,Counselling Theories,KHE401,Advanced Training in Skils & Coaching,HED322,Drug Education
1,Tuesday,"28th April, 2026",KHE302,Officiating In Sports & Games,SED312,The Earth And The Universe,KHE313,Skills Dev & Techniques In Sports & Games (High Jump Hurdles Badminton & Volleyball)
1,Tuesday,"28th April, 2026",PED312,Fundamentals Of Early Childhood And,LIS302,Knowledge Organization (Classification) II,PED410,Management Of Childhood Institution
1,Tuesday,"28th April, 2026",SED835,Laboratory Design Andmanagement,CIT302,Data Mining And Data Warehousing,LIS303,Information Retrieval (Cataloguing) II
1,Tuesday,"28th April, 2026",LIS301,Collection Development,CIT855,Advanced Cyber Security,LIS418,Personnel Management In Library & Information Science
1,Tuesday,"28th April, 2026",CIT301,Structured Programming,ECE311,Introduction To Cultural And Creati,CIT303,Principles Of Communication Technol
1,Tuesday,"28th April, 2026",CIT478,Artificial Intelligence,BUS424,Organizational Theory,CIT484,Website Design And Programming
1,Tuesday,"28th April, 2026",CIT891,Advanced Multimedia Technology,CIT701,Foundation Of Information And Commu,CIT703,Information Technology And Software
1,Tuesday,"28th April, 2026",EDU321,Psychology Of Learning,,,MBF833,Money And Banking
1,Tuesday,"28th April, 2026",FRE801,French Grammar I,,,,
2,Wednesday,"28th April, 2026",ACC757,Principles Of Accounting,ACC812,Introduction To Accounting,BUS804,Strategy And Structure
2,Wednesday,"29th April, 2026",BFN301,Practice Of Banking,BFN302,Monetary Theory & Policy,CRD407,Project Planning Management Monitor
2,Wednesday,"29th April, 2026",BUS849,Strategic Management,BFN721,Security Analysis & Portfolio Manag,ENT304,Leadership & Corporate Governance
2,Wednesday,"29th April, 2026",CRD403,Comparative Cooperatives,BFN421,Risk Management And Insurance,ENT709,Start Up Funding
2,Wednesday,"29th April, 2026",ENT722,Entrepreneurial Marketing,ENT303,Small Scale Business Management,ENT824,Leadership And Management For Entrepreneurs
2,Wednesday,"29th April, 2026",ENT805,Entrepreneurship Theory & Behaviour,ENT803,Monitoring & Supervision Of Entrepreneurship Development Programmes,MKT303,Consumer Behaviour
2,Wednesday,"29th April, 2026",MBA833,Industrial Relations,MBA821,Personnel Staff Evaluation,MPA870,Local Government Administration
2,Wednesday,"29th April, 2026",MPA871,Public Personnel Management,MBF845,International Banking,PAD354,Manpower Planning And Administratio
2,Wednesday,"29th April, 2026",PAD756,Project Analysis & Implementation,PAD404,Comprehensive Public Administration,PAD871,Public Personnel Management
2,Wednesday,"29th April, 2026",ARA312,Arabic Grammar III,PAD810,Public Policy Analysis,ARA313,Arabic Creative Writing And Composition
2,Wednesday,"29th April, 2026",ARA439,Translation (Arabic/English/Arabic),ARA428,Africa In Medieval Arabic Writing,CRS311,Gospel of John
2,Wednesday,"29th April, 2026",CRS711,Biblical Hermeneutics,CRS491,African Traditional Religion And Cu,CRS713,Critical Introduction to Old Testam
2,Wednesday,"29th April, 2026",CRS812,Theology of The Pentateuch (OT),CRS823,Further Greek,CRS832,The Rise and Growth of Western Christianity in Africa
2,Wednesday,"29th April, 2026",CRS841,God and Revelation,CRS865,Philosophy of Religion,ENG415,Literary Theory And Criticism
2,Wednesday,"29th April, 2026",ENG313,Black Diaspora Literature: African-,ENG314,Public Speaking,ENG812,Contrastive Linguistics (Eng. Lang. Option)
2,Wednesday,"29th April, 2026",ENG416,Creative Writing III,ENG854,The English Language In West Africa (Eng. Lang. Specialization),FRE431,Cultures And Civilizations Of Member Countries Of The Franco
2,Wednesday,"29th April, 2026",ENG811,Advanced Research Methods,ENG861,Studies In Written African Drama (Lit. In Eng. Specialization),HAU306,Hausa Morphology
2,Wednesday,"29th April, 2026",HAU304,Introduction Of Hausa Drama,FRE423,Linguistics Applied To The Teaching,HAU405,Practical Stylistic II
2,Wednesday,"29th April, 2026",HAU403,Advanced Hausa Syntax,HAU305,Hausa Dialects,IGB314,Literary Criticism
2,Wednesday,"29th April, 2026",IGB414,Contrastive Studies in Igbo,HAU406,Textual Study of Hausa Oral Songs,ISL412,Tafsir: Exegesis Of Selected Passag
2,Wednesday,"29th April, 2026",PHL303,Theories Of Knowledge,ISL304,Islamic Studies And Orientalism,ISL805,Revivalism And Revivalist Movements In Islam
2,Wednesday,"29th April, 2026",PHL432,Applied Ethics,ISL804,Islamic Studies In West Africa,PHL314,Advanced Metaphysics
2,Wednesday,"29th April, 2026",YOR371,Varieties of Poetry in Yoruba,YOR314,Literary Criticism,PHL413,Metaphysical Anthropology
2,Wednesday,"29th April, 2026",EDT833,Facilities For Media,EDA832,Economics Of Education,EDA833,Monitoring/Evaluation In Education
2,Wednesday,"29th April, 2026",EDU712,Professionalism In Teaching,EDU721,Psychology Of Learning,EDU731,Curriculum Development (Theory And
2,Wednesday,"29th April, 2026",EGC803,Developmental Psychology,KHE312,Facility Planning Construction & Supervision,EGC804,Techniques Of Counselling
2,Wednesday,"29th April, 2026",HED313,Health And Illness Behaviour,SED313,Improvisation In Integrated Science,HED324,Vital Statistics In Health Education
2,Wednesday,"29th April, 2026",PED313,Historical And Cultural Background,SED834,Science And Technology In Society,PED412,Organization And Administration Of
2,Wednesday,"29th April, 2026",LIS304,Management Of Libraries & Information Centre,LIS305,Research Methodology And Statistics In Lis,SED314,African Cosmology In Integration In
2,Wednesday,"29th April, 2026",CIT304,Data Management,LIS416,Introduction To Digital Information System&Services,LIS306,Indexing And Abstracting
2,Wednesday,"29th April, 2026",CIT722,Computer Networks,CIT305,Networking And Communication Techno,CIT308,"Formal Methods, Automata And Software Development"
2,Wednesday,"29th April, 2026",CIT853,Internet Concepts And Web Design,CIT474,Introduction To Expert Systems,CIT711,Computer Fundamentals
2,Wednesday,"29th April, 2026",ISL439,Al-HuduuD: Penal System Of The Shar,ECE313,Theories And Practice Of Early Chil,CIT882,Internet Of Things
2,Wednesday,"29th April, 2026",ENT403,Project Management,EDU823,Educational Research Methods,CIT421,Net-Centric Computing
2,Wednesday,"29th April, 2026",BUS325,Human Resources Management,EDU426,Special Education,FMS304,Research Methodology
2,Wednesday,"29th April, 2026",EDU314,Comparative Education,,,,
